 1.98000000e+00  8.90934914e-01  1.98000000e+00  8.90934915e-01 
 1.97000000e+00  8.91382666e-01  1.97000000e+00  8.90253170e-01 
 1.96000000e+00  8.91831780e-01  1.96000000e+00  8.89569561e-01 
 1.95000000e+00  8.92282299e-01  1.95000000e+00  8.88884023e-01 
 1.94000000e+00  8.92734270e-01  1.94000000e+00  8.88196486e-01 
 1.93000000e+00  8.93187741e-01  1.93000000e+00  8.87506877e-01 
 1.92000000e+00  8.93642764e-01  1.92000000e+00  8.86815122e-01 
 1.91000000e+00  8.94099392e-01  1.91000000e+00  8.86121140e-01 
 1.90000000e+00  8.94557680e-01  1.90000000e+00  8.85424850e-01 
 1.89000000e+00  8.95017688e-01  1.89000000e+00  8.84726164e-01 
 1.88000000e+00  8.95479475e-01  1.88000000e+00  8.84024992e-01 
 1.87000000e+00  8.95943107e-01  1.87000000e+00  8.83321238e-01 
 1.86000000e+00  8.96408652e-01  1.86000000e+00  8.82614801e-01 
 1.85000000e+00  8.96876178e-01  1.85000000e+00  8.81905580e-01 
 1.84000000e+00  8.97345760e-01  1.84000000e+00  8.81193462e-01 
 1.83000000e+00  8.97817478e-01  1.83000000e+00  8.80478332e-01 
 1.82000000e+00  8.98291411e-01  1.82000000e+00  8.79760069e-01 
 1.81000000e+00  8.98767648e-01  1.81000000e+00  8.79038545e-01 
 1.80000000e+00  8.99246278e-01  1.80000000e+00  8.78313625e-01 
 1.79000000e+00  8.99727397e-01  1.79000000e+00  8.77585168e-01 
 1.78000000e+00  9.00211106e-01  1.78000000e+00  8.76853025e-01 
 1.77000000e+00  9.00697512e-01  1.77000000e+00  8.76117038e-01 
 1.76000000e+00  9.01186726e-01  1.76000000e+00  8.75377042e-01 
 1.75000000e+00  9.01678867e-01  1.75000000e+00  8.74632860e-01 
 1.74000000e+00  9.02174061e-01  1.74000000e+00  8.73884307e-01 
 1.73000000e+00  9.02672439e-01  1.73000000e+00  8.73131188e-01 
 1.72000000e+00  9.03174143e-01  1.72000000e+00  8.72373295e-01 
 1.71000000e+00  9.03679320e-01  1.71000000e+00  8.71610407e-01 
 1.70000000e+00  9.04188129e-01  1.70000000e+00  8.70842293e-01 
 1.69000000e+00  9.04700737e-01  1.69000000e+00  8.70068705e-01 
 1.68000000e+00  9.05217322e-01  1.68000000e+00  8.69289380e-01 
 1.67000000e+00  9.05738073e-01  1.67000000e+00  8.68504038e-01 
 1.66000000e+00  9.06263191e-01  1.66000000e+00  8.67712383e-01 
 1.65000000e+00  9.06792890e-01  1.65000000e+00  8.66914099e-01 
 1.64000000e+00  9.07327399e-01  1.64000000e+00  8.66108847e-01 
 1.63000000e+00  9.07866962e-01  1.63000000e+00  8.65296268e-01 
 1.62000000e+00  9.08411840e-01  1.62000000e+00  8.64475977e-01 
 1.61000000e+00  9.08962312e-01  1.61000000e+00  8.63647562e-01 
 1.60000000e+00  9.09518676e-01  1.60000000e+00  8.62810583e-01 
 1.59000000e+00  9.10081255e-01  1.59000000e+00  8.61964566e-01 
 1.58000000e+00  9.10650391e-01  1.58000000e+00  8.61109005e-01 
 1.57000000e+00  9.11226455e-01  1.57000000e+00  8.60243353e-01 
 1.56000000e+00  9.11809846e-01  1.56000000e+00  8.59367024e-01 
 1.55000000e+00  9.12400993e-01  1.55000000e+00  8.58479386e-01 
 1.54000000e+00  9.13000360e-01  1.54000000e+00  8.57579754e-01 
 1.53000000e+00  9.13608448e-01  1.53000000e+00  8.56667391e-01 
 1.52000000e+00  9.14225802e-01  1.52000000e+00  8.55741497e-01 
 1.51000000e+00  9.14853011e-01  1.51000000e+00  8.54801206e-01 
 1.50000000e+00  9.15490713e-01  1.50000000e+00  8.53845577e-01 
 1.49000000e+00  9.16139607e-01  1.49000000e+00  8.52873585e-01 
 1.48000000e+00  9.16800452e-01  1.48000000e+00  8.51884114e-01 
 1.47000000e+00  9.17474076e-01  1.47000000e+00  8.50875947e-01 
 1.46000000e+00  9.18161388e-01  1.46000000e+00  8.49847752e-01 
 1.45000000e+00  9.18863381e-01  1.45000000e+00  8.48798068e-01 
 1.44000000e+00  9.19581147e-01  1.44000000e+00  8.47725295e-01 
 1.43000000e+00  9.20315889e-01  1.43000000e+00  8.46627670e-01 
 1.42000000e+00  9.21068930e-01  1.42000000e+00  8.45503254e-01 
 1.41000000e+00  9.21841733e-01  1.41000000e+00  8.44349904e-01 
 1.40000000e+00  9.22635914e-01  1.40000000e+00  8.43165252e-01 
 1.39000000e+00  9.23453267e-01  1.39000000e+00  8.41946676e-01 
 1.38000000e+00  9.24295782e-01  1.38000000e+00  8.40691266e-01 
 1.37000000e+00  9.25165670e-01  1.37000000e+00  8.39395792e-01 
 1.36000000e+00  9.26065393e-01  1.36000000e+00  8.38056659e-01 
 1.35000000e+00  9.26997693e-01  1.35000000e+00  8.36669869e-01 
 1.34000000e+00  9.27965627e-01  1.34000000e+00  8.35230966e-01 
 1.33000000e+00  9.28972604e-01  1.33000000e+00  8.33734990e-01 
 1.32000000e+00  9.30022422e-01  1.32000000e+00  8.32176416e-01 
 1.31000000e+00  9.31119312e-01  1.31000000e+00  8.30549102e-01 
 1.30000000e+00  9.32267979e-01  1.30000000e+00  8.28846228e-01 
 1.29000000e+00  9.33473642e-01  1.29000000e+00  8.27060238e-01 
 1.28000000e+00  9.34742075e-01  1.28000000e+00  8.25182791e-01 
 1.27000000e+00  9.36079644e-01  1.27000000e+00  8.23204713e-01 
 1.26000000e+00  9.37493334e-01  1.26000000e+00  8.21115956e-01 
 1.25000000e+00  9.38990779e-01  1.25000000e+00  8.18905579e-01 
 1.24000000e+00  9.40580277e-01  1.24000000e+00  8.16561720e-01 
 1.23000000e+00  9.42270806e-01  1.23000000e+00  8.14071597e-01 
 1.22000000e+00  9.44072038e-01  1.22000000e+00  8.11421497e-01 
 1.21000000e+00  9.45994357e-01  1.21000000e+00  8.08596768e-01 
 1.20000000e+00  9.48048885e-01  1.20000000e+00  8.05581800e-01 
 1.19000000e+00  9.50247531e-01  1.19000000e+00  8.02359974e-01 
 1.18000000e+00  9.52603073e-01  1.18000000e+00  7.98913577e-01 
 1.17000000e+00  9.55129265e-01  1.17000000e+00  7.95223665e-01 
 1.16000000e+00  9.57841018e-01  1.16000000e+00  7.91269858e-01 
 1.15000000e+00  9.60754623e-01  1.15000000e+00  7.87030045e-01 
 1.14000000e+00  9.63888070e-01  1.14000000e+00  7.82479993e-01 
 1.13000000e+00  9.67261471e-01  1.13000000e+00  7.77592816e-01 
 1.12000000e+00  9.70897608e-01  1.12000000e+00  7.72338272e-01 
 1.11000000e+00  9.74822679e-01  1.11000000e+00  7.66681840e-01 
 1.10000000e+00  9.79067286e-01  1.10000000e+00  7.60583468e-01 
 1.09000000e+00  9.83667797e-01  1.09000000e+00  7.53995885e-01 
 1.08000000e+00  9.88668233e-01  1.08000000e+00  7.46862253e-01 
 1.07000000e+00  9.94122985e-01  1.07000000e+00  7.39112820e-01 
 1.06000000e+00  1.00010081e+00  1.06000000e+00  7.30660028e-01 
 1.05000000e+00  1.00669094e+00  1.05000000e+00  7.21391076e-01 
 1.04000000e+00  1.01401283e+00  1.04000000e+00  7.11156178e-01 
 1.03000000e+00  1.02223237e+00  1.03000000e+00  6.99749181e-01 
